mutant_id,average_fitness,fitseq2_fitness,difference
205,-0.27725898627570716,-0.0022190756467193,-0.27503991062898786
206,-0.5345289701754485,-0.0321115816104113,-0.5024173885650373
207,-0.485233193295434,-0.043818690897445,-0.441414502397989
208,-0.478952170770334,-0.027463569113135,-0.45148860165719895
209,-0.11190369687643822,0.0022741462999924,-0.11417784317643062
210,-0.5678980303271746,-0.0480234303574122,-0.5198745999697624
211,-0.5254370591327298,-0.0155983600809524,-0.5098386990517774
212,-0.8799507380187449,-0.0609119869647646,-0.8190387510539803
215,-0.18906120541301255,0.0006936629810356,-0.18975486839404815
216,-0.2901691177956893,-0.029761727526319,-0.2604073902693703
217,-0.422134816908096,-0.0676594625678637,-0.3544753543402323
218,-0.21125377413767127,0.0001767146853031,-0.21143048882297436
219,-0.36523612501128744,-0.0090553576261512,-0.35618076738513627
220,-0.5710675038991719,-0.0512559680777021,-0.5198115358214699
221,-0.520986327200953,-0.0281730365409135,-0.4928132906600394
223,-0.39265647857057545,-0.0154807794227819,-0.37717569914779353
224,-0.20283807186097472,-0.0001698931313136,-0.2026681787296611
225,-0.11819512423254162,0.0028080292869416,-0.12100315351948322
226,0.005913012513081406,-0.0332113267798706,0.039124339292952004
227,-0.37295286054512755,-0.0430668838273343,-0.32988597671779324
229,-0.44159133683725355,-0.0323133204845055,-0.4092780163527481
230,-0.288481094562027,-0.0023869133526137,-0.28609418120941327
231,-0.677314889196795,-0.0283339981589449,-0.6489808910378501
232,-0.3003143108207372,-0.0033592404532982,-0.29695507036743896
233,-0.23980320173872743,-0.0057084458044762,-0.23409475593425122
234,-0.6963086965615018,-0.026242785929544,-0.6700659106319579
235,-0.21127570730930045,-0.0020359999288687,-0.20923970738043177
237,-0.5307817394164355,-0.0180605107398431,-0.5127212286765924
238,-0.3566962195141028,-0.0449667031574149,-0.3117295163566879
239,-0.22362434840358428,-0.0010777701360117,-0.22254657826757257
240,-0.4481085878296431,-0.0108388639040862,-0.43726972392555685
241,-0.43246319496039226,-0.0070496919103789,-0.42541350305001335
243,-0.5126284590473122,-0.0433065992991307,-0.4693218597481815
244,-0.47215507441057497,-0.0558133046220964,-0.4163417697884786
245,-0.5431530791113174,-0.0209647822442473,-0.5221882968670701
246,-0.16858181533130034,-0.0308934341320714,-0.13768838119922894
