mutant_id,clim_static,clim_component,nlim_component,nlim_static,clim_diff,nlim_diff
50,-0.20018204364828124,0.21593333693641073,-0.15471061503821573,0.1691401366202074,0.416115380584692,-0.32385075165842314
51,-0.21048898870500235,0.10192691174894486,-0.07533103136546904,-0.1726742539675698,0.3124159004539472,0.09734322260210077
52,0.04429821805147064,-0.002786810404994247,0.05856919327527618,0.0047782967017860134,-0.04708502845646489,0.05379089657349017
53,-0.14151725362835293,0.3069539889464267,-0.3101532376299994,-0.08558815747263562,0.44847124257477966,-0.2245650801573638
54,-0.4004229512089512,0.06034377864964727,-0.31998068588507816,0.26296622104669287,0.46076672985859846,-0.582946906931771
55,-0.37497229394967646,0.12718828706923285,-0.2210769023668411,-0.03251012610822599,0.5021605810189094,-0.18856677625861512
56,-0.15785888425292594,0.26510502728837515,-0.22015676021468333,0.13482626313288099,0.4229639115413011,-0.3549830233475643
59,-0.27992746102958005,0.10367248083793187,-0.2979485652052805,-0.055235540599906145,0.3835999418675119,-0.24271302460537436
60,-0.38389278279719713,0.20771677371498443,-0.1532194247382469,0.09567178350902436,0.5916095565121815,-0.24889120824727126
61,-0.485578571237669,-0.054875607327338524,-0.10391139719912791,0.04013722062590811,0.43070296391033047,-0.14404861782503603
65,-0.16091122052445728,-0.0536277661399381,0.17296758000549228,-0.06735692958600717,0.10728345438451917,0.24032450959149945
67,-0.17530184509886138,0.6684550864833687,-0.592627873699567,-0.1959188919571223,0.8437569315822301,-0.39670898174244473
