mutant_id,avg_fitness_clim,avg_fitness_nlim,fitness_diff,clim_component,nlim_component,clim_memory,nlim_memory
59,-0.27992746102958005,-0.055235540599906145,-0.2246919204296739,0.10367248083793187,0.2979485652052805,0.3835999418675119,0.35318410580518667
60,-0.38389278279719713,0.09567178350902436,-0.47956456630622146,0.20771677371498443,0.1532194247382469,0.5916095565121815,0.05754764122922254
61,-0.485578571237669,0.04013722062590811,-0.5257157918635771,0.054875607327338524,0.10391139719912791,0.5404541785650075,0.06377417657321979
65,-0.16091122052445728,-0.06735692958600717,-0.09355429093845011,0.0536277661399381,0.17296758000549228,0.2145389866643954,0.24032450959149945
67,-0.17530184509886138,-0.1959188919571223,0.020617046858260935,0.6684550864833687,0.592627873699567,0.8437569315822301,0.7885467656566894
68,-0.1706489086099565,0.16185362778889895,-0.3325025363988554,0.7840460542231258,0.792465543728194,0.9546949628330823,0.6306119159392951
71,-0.22786265079021706,-0.04367838054594374,-0.1841842702442733,0.09419601355169333,0.13149883519806788,0.3220586643419104,0.17517721574401163
72,-0.016793487523689737,-0.36116027405867485,0.3443667865349851,0.3269492318322704,0.6430799387869098,0.3437427193559602,1.0042402128455847
74,-0.4215656882452579,-0.20218583613939242,-0.2193798521058655,0.21137445077632291,0.1989578781066137,0.6329401390215809,0.40114371424600614
76,-0.6042016139421993,0.034422394600367,-0.6386240085425663,0.6550014386736089,0.3420895991531549,1.2592030526158082,0.3076672045527879
78,-0.34071704807536723,0.22926731406501916,-0.5699843621403864,0.3062922866631125,0.05496520165371257,0.6470093347384798,-0.17430211241130658
79,-0.2728071485517045,-0.19969973745061878,-0.07310741110108573,0.20545570448543224,0.06574255769951026,0.4782628530371368,0.26544229515012907
80,-0.271151796044566,-0.1970847014934376,-0.07406709455112842,0.4673520777483843,0.11561162784266533,0.7385038737929503,0.3126963293361029
81,-0.37945960415926994,-0.14560452326277004,-0.2338550808964999,0.09971684953161389,0.06333471591243042,0.4791764536908838,0.20893923917520046
82,-0.3610356408052934,-0.30921768320859644,-0.05181795759669694,0.41631422317693245,0.5286684651813497,0.7773498639822258,0.8378861483899461
83,0.07705610105986313,-0.07280716568620572,0.14986326674606887,0.21339357908978415,0.3647727801181147,0.13633747802992102,0.4375799458043204
84,-0.1725517311439089,0.1365393406178702,-0.3090910717617791,0.4263544944300921,0.009721807559668,0.598906225574001,-0.1268175330582022
86,-0.3937387430258518,-0.2457079352898737,-0.14803080773597813,0.14380468977785332,0.25637167099842806,0.5375434328037052,0.5020796062883017
88,-0.08881681345297568,0.07479001353732975,-0.16360682699030543,0.08027875626747012,0.3686703612385146,0.16909556972044582,0.2938803477011849
89,-0.3497596926718911,-0.3527455435852704,0.0029858509133792732,0.10860937524380869,0.37077754229728266,0.4583690679156998,0.723523085882553
90,-0.12468549511336395,-0.2618173633114375,0.13713186819807355,0.08306619929436787,0.043775798946846634,0.20775169440773184,0.30559316225828415
