strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_20,1.1465648768921555,1250000,0.00025,111231,0.0003962050499091155,1075,3.829936421499482e-06,3,1.2466670390018917e-08,0,3.654503557471338e-11,0,1.0423266645201287e-13,0,2.9473792431859863e-16,0,8.324046612316096e-19,0,2.376862681776969e-21,0,6.945386492009471e-24,0,2.0997766961757294e-26,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_21,0.9774223699513465,1250000,0.00025,1919,6.838272322541886e-06,0,1.1405472889482128e-09,0,6.42290839297438e-14,0,3.303869656150676e-18,0,1.658284389230378e-22,0,8.192447607988836e-27,0,3.894752496171404e-31,0,1.8704530941258117e-35,0,9.395501598058817e-40,0,5.249074417672673e-44,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_22,1.0067528204687923,1250000,0.00025,3881,1.382434101489291e-05,1,4.660559922646961e-09,0,5.297212233278627e-13,0,5.452723868686729e-17,0,5.4601145506763905e-21,0,5.396158001446919e-25,0,5.211241818029853e-29,0,5.092732003058609e-33,0,5.18097332328238e-37,0,5.72131096271283e-41,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_23,0.8575251813786543,1250000,0.00025,108,3.861183777950031e-07,0,3.6450378782034306e-12,0,1.1901666095092773e-17,0,4.118850088982371e-23,0,1.4539189300108258e-28,0,4.900570429846843e-34,0,1.3210864177858265e-39,0,3.5264177188930796e-45,0,1.0215440113150652e-50,0,4.33729565855074e-56,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_24,0.9455617275474817,1250000,0.00025,893,3.183608870833306e-06,0,2.473070312289338e-10,0,6.5046641459313965e-15,0,1.589578837926817e-19,0,3.813036801663448e-24,0,8.962973601706491e-29,0,1.9757021477848217e-33,0,4.386143976705095e-38,0,1.0249494563420758e-42,0,2.7710070402910097e-47,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_25,1.0110922589709865,1250000,0.00025,4307,1.534170815740104e-05,1,5.739740242414464e-09,0,7.238700706909815e-13,0,8.260647325536982e-17,0,9.167703073442117e-21,0,1.0044738702201845e-24,0,1.077331849055503e-28,0,1.1694800116404233e-32,0,1.3207197404912468e-36,0,1.6143716441626943e-40,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_26,0.8849006422577698,1250000,0.00025,208,7.434173836076824e-07,0,1.3504261542664064e-11,0,8.402804283797517e-17,0,5.2205563683253225e-22,0,3.255937956645421e-27,0,1.9600189415514148e-32,0,1.009823703457161e-37,0,5.187578563747548e-43,0,2.856412231149372e-48,0,2.0853098178305757e-53,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_27,1.0375698018345672,1250000,0.00025,8131,2.8963276095857318e-05,5,2.045689256586113e-08,0,4.8673774286706494e-12,0,1.044184346764316e-15,0,2.1759604048531057e-19,0,4.4836638105824777e-23,0,9.120201857802903e-27,0,1.8790415129998498e-30,0,4.0129845526361275e-34,0,9.142735695100719e-38,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_28,0.9399361310081195,1250000,0.00025,780,2.7816560760422457e-06,0,1.888195534198849e-10,0,4.342657141735314e-15,0,9.318269460227671e-20,0,1.9654368681844506e-24,0,4.0583085321866597e-29,0,7.812331806127131e-34,0,1.5136161966976482e-38,0,3.0908025003974643e-43,0,7.366598426646303e-48,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_29,0.9708306250206723,1250000,0.00025,1638,5.837772633198143e-06,0,8.312702686490458e-10,0,3.998416803520774e-14,0,1.7615624811106337e-18,0,7.580135883840435e-23,0,3.208036321172392e-27,0,1.3007125877345477e-31,0,5.324744184740147e-36,0,2.2826508399194325e-40,0,1.0958611205339907e-44,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
