mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
105,-0.057671489854089965,-0.011128897940166966,-0.006944002450004534,-0.034400193897128464,-0.046542591913923,0.02745619144712393
106,0.0021323340025530334,-0.012043310169484567,0.002602761144162,-0.0049554880834657665,0.0141756441720376,0.007558249227627767
107,-0.0014354210324144668,-0.014407330188690998,-0.0003338427757301001,-0.007921375610552733,0.012971909156276532,0.007587532834822633
108,-0.043959889015654806,-0.018334206876087635,-0.0021710109834237,-0.03114704794587122,-0.02562568213956717,0.028976036962447518
112,-0.0124081238730796,-0.018517586556405535,-0.0055582049070974,-0.015462855214742569,0.006109462683325935,0.009904650307645167
113,-0.045791625584953866,-0.012206821171334,-0.0024789229781824666,-0.028999223378143934,-0.03358480441361986,0.026520300399961467
114,-0.009293059414112933,-0.011935614299033866,-0.00012457346477796663,-0.0106143368565734,0.0026425548849209335,0.010489763391795432
115,-0.05076469797689105,-0.056458326276541494,-0.05853351531918377,-0.053611512126716276,0.0056936282996504425,-0.0049220031924674945
116,-0.04661772622595763,-0.03611754995404757,-0.0405944884529704,-0.0413676380900026,-0.010500176271910064,0.0007731496370321986
117,-0.008145372568810967,-0.018390980661581968,0.0036061203074726003,-0.013268176615196466,0.010245608092771,0.016874296922669067
118,0.0010887690265875668,-0.014812415532383433,-0.0045557470933283665,-0.006861823252897933,0.015901184558971,0.0023060761595695665
119,-0.01270508221595075,-0.01590853077212547,-0.0009734613810683999,-0.014306806494038109,0.0032034485561747185,0.01333334511296971
121,-0.01464177993198555,-0.026852491256685568,-0.02150049083340817,-0.02074713559433556,0.012210711324700018,-0.0007533552390726096
123,-0.0017362914421382668,-0.010118658987280734,-0.002313443578471575,-0.0059274752147095,0.008382367545142468,0.003614031636237925
125,-0.013641126186993601,-0.017004068529033734,-0.006225382587128667,-0.015322597358013668,0.003362942342040133,0.009097214770885001
126,-0.01812688412669663,-0.009817117729690532,-0.0017568413101682334,-0.013972000928193583,-0.0083097663970061,0.01221515961802535
127,-0.0182721443578354,-0.0186350533251919,-0.006269349739164233,-0.018453598841513652,0.00036290896735649905,0.012184249102349418
128,-0.0327540677312129,-0.03387481765662753,-0.03151055415305423,-0.03331444269392021,0.001120749925414631,0.0018038885408659805
129,-0.048427381189341596,-0.0060751483144646,-0.008432304379807933,-0.0272512647519031,-0.042352232874876994,0.018818960372095166
130,-0.0047030887913851,-0.0124054610193607,-0.003447511167918433,-0.0085542749053729,0.0077023722279756,0.0051067637374544676
131,-0.042101672868944034,-0.008067614546731534,-0.0009791698910082,-0.025084643707837785,-0.0340340583222125,0.024105473816829585
132,0.008965942431314867,-0.0098228649961183,-0.00022927317081313336,-0.00042846128240171637,0.018788807427433166,0.000199188111588583
134,-1.4469863969562803e-05,-0.019637456254830137,-0.0076305982758375,-0.00982596305939985,0.019622986390860575,0.0021953647835623495
135,-0.011890900292223098,-0.003704131069820533,0.0053876938999355,-0.007797515681021815,-0.008186769222402565,0.013185209580957315
136,-0.0027326189317285004,-0.0059780904337997,-1.34581637688e-05,-0.0043553546827641,0.0032454715020712,0.0043418965189953
137,-0.024861617995982136,-0.046180041737292565,-0.0314684837993681,-0.03552082986663735,0.02131842374131043,0.004052346067269251
138,-0.0107518717146027,-0.025701720615040665,-0.0148102249070106,-0.01822679616482168,0.014949848900437965,0.00341657125781108
140,-0.0389507769731571,-0.005034887222988767,-0.002024222842504033,-0.021992832098072936,-0.033915889750168335,0.0199686092555689
141,-0.028711342068541534,-0.005726419136488767,-0.0021931435478555,-0.01721888060251515,-0.022984922932052766,0.015025737054659651
142,-0.0188237246061866,-0.010049371667045233,-0.0017974932564006334,-0.014436548136615917,-0.008774352939141368,0.012639054880215283
143,-0.018280024471407568,-0.0113778495106072,-0.005376036231713867,-0.014828936991007385,-0.006902174960800369,0.009452900759293517
144,-0.01753793535166093,-0.007784550133918433,-0.0027576338865361004,-0.012661242742789682,-0.009753385217742497,0.009903608856253581
145,-0.03428173293419537,-0.008806503368302533,-0.001260793227916314,-0.021544118151248952,-0.025475229565892835,0.020283324923332638
146,-0.0030175027584919667,-0.012459369470248,0.0003017885822685,-0.0077384361143699835,0.009441866711756033,0.008040224696638483
148,-0.007150693965784333,-0.010446798112446934,-0.007035391673753367,-0.008798746039115634,0.0032961041466626007,0.0017633543653622673
149,-0.06436438418855343,-0.014848304415212033,-0.0044766053936334,-0.039606344301882736,-0.0495160797733414,0.03512973890824934
150,-0.03578768161576,-0.0035348115116935665,-0.0021168200068438668,-0.019661246563726784,-0.03225287010406643,0.017544426556882917
151,-0.03400873446389335,-0.011619412558849199,-0.002586169660626667,-0.022814073511371276,-0.022389321905044154,0.02022790385074461
152,-0.039433403480579464,-0.01740194373909783,-0.0039582785760095334,-0.02841767360983865,-0.022031459741481633,0.024459395033829115
153,-0.02345872341860843,-0.0081198671201473,-0.00253478369645348,-0.015789295269377866,-0.01533885629846113,0.013254511572924385
154,0.000552838398178117,-0.008417713887215367,-0.0008448197300724085,-0.003932437744518625,0.008970552285393485,0.0030876180144462167
155,-0.021720731140142963,-0.017414572720224102,-0.008982740108270666,-0.019567651930183533,-0.004306158419918861,0.010584911821912867
157,-0.005560399229503233,-0.013821153238997469,-0.0071551664297014,-0.00969077623425035,0.008260754009494236,0.0025356098045489503
158,-0.005281979790083033,-0.010139267644339166,-0.0015400967312133335,-0.007710623717211099,0.004857287854256133,0.006170526985997766
159,-0.021905652125985664,-0.0028184004965289334,-0.010524187295725733,-0.0123620263112573,-0.01908725162945673,0.0018378390155315665
160,-0.013496941957560467,0.0051054603867512665,-0.00017990090590010006,-0.004195740785404601,-0.018602402344311732,0.004015839879504501
162,-0.0016580919645505666,-0.007556359655168332,-0.004169311155336467,-0.00460722580985945,0.005898267690617766,0.00043791465452298287
163,-0.019216940659308367,-0.019047785329190867,-0.005948091585517933,-0.019132362994249617,-0.0001691553301175,0.013184271408731685
164,-0.05130419191554556,-0.0147270831270568,-0.004919659399168033,-0.03301563752130118,-0.036577108788488764,0.02809597812213315
165,-0.034347456596482,-0.014526362440109934,-0.0051095911977001,-0.02443690951829597,-0.019821094156372066,0.01932731832059587
166,-0.023390978626990366,-0.010106838221976234,-0.0019739381018343332,-0.0167489084244833,-0.013284140405014131,0.014774970322648965
167,-0.039186223260130035,-0.0067973827983548,-0.0027076525047399,-0.02299180302924242,-0.03238884046177523,0.02028415052450252
168,-0.005576521988946166,-0.021843555217796334,-0.0039006324739055665,-0.01371003860337125,0.016267033228850168,0.009809406129465683
170,-0.010413170967936133,-0.01716607454205313,-0.005945137989364133,-0.013789622754994632,0.006752903574116998,0.007844484765630499
171,-0.0285051640913164,-0.02565161847488127,-0.0041198008446306006,-0.027078391283098836,-0.0028535456164351276,0.022958590438468235
172,0.0029569000888265665,-0.020233196374620066,-0.007332868600861567,-0.00863814814289675,0.023190096463446632,0.0013052795420351827
173,-0.036270431430303465,-0.008315051909611666,-0.004739163223752067,-0.022292741669957566,-0.027955379520691798,0.0175535784462055
174,-0.016218993940448834,-0.01870326277447513,-8.728475441593341e-05,-0.017461128357461983,0.0024842688340262972,0.01737384360304605
175,-0.0020550545969552,-0.0063496407817198,-0.00016441707865433338,-0.0042023476893375,0.004294586184764601,0.004037930610683167
176,-0.010440496985070234,-0.012600676760094033,0.0023079900448638667,-0.011520586872582134,0.0021601797750237985,0.013828576917446002
177,-0.0230141453359633,-0.004648797801585866,-0.001929162042100933,-0.013831471568774583,-0.018365347534377432,0.011902309526673649
178,-0.0163976731850822,-0.0105253970495206,-0.0041085256795681665,-0.013461535117301401,-0.005872276135561601,0.009353009437733234
179,-0.04630772006295277,-0.012335459233471366,-0.0032382117875280995,-0.02932158964821207,-0.033972260829481404,0.02608337786068397
180,-0.0489819332113517,-0.006889104199078133,-0.0008383253041208668,-0.027935518705214917,-0.04209282901227356,0.02709719340109405
181,-0.028774352860995934,-0.0036199306984244666,0.0014136513151963334,-0.0161971417797102,-0.025154422162571466,0.017610793094906534
182,-0.0014442007114779335,-0.005508396175150733,-0.0016699559560990663,-0.0034762984433143332,0.004064195463672799,0.0018063424872152669
183,-0.005005497502356334,-0.0117914897673727,-0.0021319920798903184,-0.008398493634864517,0.006785992265016367,0.006266501554974198
184,-0.015656641681134398,-0.017962599965385868,-0.0012097123241344668,-0.01680962082326013,0.00230595828425147,0.015599908499125664
185,-0.008338719088915666,-0.021339607674801503,-0.0015368533977253,-0.014839163381858585,0.013000888585885837,0.013302309984133285
186,-0.0331451990557162,-0.005767592815406734,-0.0002803353429289347,-0.01945639593556147,-0.02737760624030947,0.019176060592632535
187,-0.0325166794468769,0.002476548658763533,-0.0049417019024389,-0.015020065394056686,-0.034993228105640435,0.010078363491617785
188,-0.04294199995806475,-0.036634013271934864,-0.023583880053437468,-0.0397880066149998,-0.006307986686129884,0.016204126561562334
189,-0.021964611365633352,-0.027405305657664598,-0.009788981981595167,-0.024684958511648973,0.005440694292031246,0.014895976530053806
190,-0.006134094861372934,-0.014318993195293334,-0.002162092376655567,-0.010226544028333133,0.008184898333920401,0.008064451651677566
191,-0.008062330626366567,-0.007647230610665999,0.0024543227856687997,-0.007854780618516284,-0.0004151000157005683,0.010309103404185083
192,-0.024764127875086347,-0.017202707297208866,-0.0027131168440294993,-0.020983417586147607,-0.007561420577877481,0.018270300742118106
193,-0.023566175452047134,-0.015194506041441999,-0.0010784899992958002,-0.019380340746744565,-0.008371669410605135,0.018301850747448764
194,-0.010794234029521866,-0.010520234662655134,0.0025933137376487623,-0.0106572343460885,-0.0002739993668667319,0.013250548083737261
195,-0.0237146597689633,-0.012857076778409068,-0.008993946638111733,-0.01828586827368618,-0.01085758299055423,0.009291921635574449
196,-0.0034357120064025,-0.0189907370121401,-0.006208181211468233,-0.0112132245092713,0.015555025005737598,0.005005043297803067
197,0.010021423955094633,-0.010145674832772634,-0.001816843469150067,-6.212543883900041e-05,0.020167098787867266,-0.0017547180303110665
198,-0.06075935694681037,-0.04869684584593667,-0.04749322044328467,-0.05472810139637352,-0.012062511100873696,0.00723488095308885
200,-0.007986482987415333,-0.014429422963397767,-0.0033755421412142335,-0.01120795297540655,0.006442939975982434,0.007832410834192317
201,-0.005209618633923874,-0.011092115938732,-0.00032878511177236665,-0.008150867286327936,0.005882497304808125,0.007822082174555569
202,-0.036097457171547435,-0.0113719807501508,-0.003861320664469367,-0.023734718960849117,-0.024725476421396636,0.01987339829637975
203,-0.009316734884075866,-0.017657515891672332,-0.010349665083383766,-0.0134871253878741,0.008340781007596465,0.003137460304490334
204,-0.0009166169803247661,-0.018956127737245,8.745294587763346e-05,-0.009936372358784883,0.018039510756920236,0.010023825304662516
205,-0.005973133816062167,-0.017451391404749033,-0.006163743774560933,-0.0117122626104056,0.011478257588686865,0.0055485188358446675
