mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness
114,-0.009293059414112933,-0.011935614299033866,-0.00012457346477796663,-0.0106143368565734
115,-0.05076469797689105,-0.056458326276541494,-0.05853351531918377,-0.053611512126716276
116,-0.04661772622595763,-0.03611754995404757,-0.0405944884529704,-0.0413676380900026
117,-0.008145372568810967,-0.018390980661581968,0.0036061203074726003,-0.013268176615196466
118,0.0010887690265875668,-0.014812415532383433,-0.0045557470933283665,-0.006861823252897933
119,-0.01270508221595075,-0.01590853077212547,-0.0009734613810683999,-0.014306806494038109
121,-0.01464177993198555,-0.026852491256685568,-0.02150049083340817,-0.02074713559433556
123,-0.0017362914421382668,-0.010118658987280734,-0.002313443578471575,-0.0059274752147095
125,-0.013641126186993601,-0.017004068529033734,-0.006225382587128667,-0.015322597358013668
126,-0.01812688412669663,-0.009817117729690532,-0.0017568413101682334,-0.013972000928193583
127,-0.0182721443578354,-0.0186350533251919,-0.006269349739164233,-0.018453598841513652
128,-0.0327540677312129,-0.03387481765662753,-0.03151055415305423,-0.03331444269392021
129,-0.048427381189341596,-0.0060751483144646,-0.008432304379807933,-0.0272512647519031
130,-0.0047030887913851,-0.0124054610193607,-0.003447511167918433,-0.0085542749053729
131,-0.042101672868944034,-0.008067614546731534,-0.0009791698910082,-0.025084643707837785
132,0.008965942431314867,-0.0098228649961183,-0.00022927317081313336,-0.00042846128240171637
134,-1.4469863969562803e-05,-0.019637456254830137,-0.0076305982758375,-0.00982596305939985
135,-0.011890900292223098,-0.003704131069820533,0.0053876938999355,-0.007797515681021815
136,-0.0027326189317285004,-0.0059780904337997,-1.34581637688e-05,-0.0043553546827641
137,-0.024861617995982136,-0.046180041737292565,-0.0314684837993681,-0.03552082986663735
138,-0.0107518717146027,-0.025701720615040665,-0.0148102249070106,-0.01822679616482168
140,-0.0389507769731571,-0.005034887222988767,-0.002024222842504033,-0.021992832098072936
141,-0.028711342068541534,-0.005726419136488767,-0.0021931435478555,-0.01721888060251515
142,-0.0188237246061866,-0.010049371667045233,-0.0017974932564006334,-0.014436548136615917
143,-0.018280024471407568,-0.0113778495106072,-0.005376036231713867,-0.014828936991007385
144,-0.01753793535166093,-0.007784550133918433,-0.0027576338865361004,-0.012661242742789682
145,-0.03428173293419537,-0.008806503368302533,-0.001260793227916314,-0.021544118151248952
146,-0.0030175027584919667,-0.012459369470248,0.0003017885822685,-0.0077384361143699835
148,-0.007150693965784333,-0.010446798112446934,-0.007035391673753367,-0.008798746039115634
149,-0.06436438418855343,-0.014848304415212033,-0.0044766053936334,-0.039606344301882736
150,-0.03578768161576,-0.0035348115116935665,-0.0021168200068438668,-0.019661246563726784
151,-0.03400873446389335,-0.011619412558849199,-0.002586169660626667,-0.022814073511371276
152,-0.039433403480579464,-0.01740194373909783,-0.0039582785760095334,-0.02841767360983865
153,-0.02345872341860843,-0.0081198671201473,-0.00253478369645348,-0.015789295269377866
154,0.000552838398178117,-0.008417713887215367,-0.0008448197300724085,-0.003932437744518625
155,-0.021720731140142963,-0.017414572720224102,-0.008982740108270666,-0.019567651930183533
157,-0.005560399229503233,-0.013821153238997469,-0.0071551664297014,-0.00969077623425035
158,-0.005281979790083033,-0.010139267644339166,-0.0015400967312133335,-0.007710623717211099
159,-0.021905652125985664,-0.0028184004965289334,-0.010524187295725733,-0.0123620263112573
160,-0.013496941957560467,0.0051054603867512665,-0.00017990090590010006,-0.004195740785404601
