mutant_id,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
67.0,-0.17530184509886138,-0.23838575249931798,0.10965698093703656,-0.20684379879908968,0.06308390740045661,0.3165007797361262
68.0,-0.1706489086099565,-0.08162902863327087,0.20509121486660073,-0.12613896862161367,-0.08901987997668562,0.3312301834882144
70.0,-0.44943838760527505,0.0495504627629476,0.150725553443787,-0.19994396242116372,-0.49898885036822266,0.3506695158649507
71.0,-0.4106790420090015,-0.06772637826234107,0.11077504539452646,-0.2392027101356713,-0.34295266374666045,0.3499777555301977
72.0,-0.6459005856616817,-0.1326819401742761,0.08877755557594968,-0.3892912629179789,-0.5132186454874057,0.47806881849392857
74.0,-0.4215656882452579,-0.283532891462126,-0.26135712122369753,-0.35254928985369194,-0.1380327967831319,0.09119216862999441
75.0,-1.277350946744263,-0.6564338685908273,-0.6636510605534839,-0.9668924076675451,-0.6209170781534357,0.30324134711406125
76.0,-0.6042016139421993,0.0389008363669531,0.17889241985963675,-0.2826503887876231,-0.6431024503091524,0.46154280864725983
78.0,-0.34071704807536723,0.10393673361698177,0.12566354250469997,-0.11839015722919273,-0.44465378169234904,0.24405369973389268
79.0,-0.3946438018290502,-0.08189246392571645,0.29452157354448133,-0.2382681328773833,-0.31275133790333376,0.5327897064218646
80.0,-0.49129253785823546,0.018967029310319544,0.13951384573281048,-0.23616275427395794,-0.510259567168555,0.3756766000067684
81.0,-0.458761994729159,-0.20462451308905005,0.08152578272202216,-0.33169325390910454,-0.25413748164010896,0.4132190366311267
82.0,-0.4914716466437156,-0.27394709136941775,-0.011321642451954375,-0.3827093690065667,-0.21752455527429787,0.37138772655461233
83.0,0.07705610105986313,-0.26592047295556387,0.1262172181516405,-0.09443218594785037,0.342976574015427,0.22064940409949085
84.0,-0.47696335951404945,-0.158655460578153,0.23946465072019493,-0.3178094100461012,-0.31830789893589645,0.5572740607662962
86.0,-0.4831463334739127,-0.25075994502343757,-0.05175384106497605,-0.3669531392486751,-0.23238638845047516,0.3151992981836991
87.0,-1.026547602337717,-0.14953233471576696,0.22370064255321417,-0.5880399685267419,-0.8770152676219499,0.8117406110799561
88.0,-0.08881681345297568,-0.196073462103106,0.06542248100081247,-0.14244513777804085,0.10725664865013032,0.20786761877885332
89.0,-0.5313343791671161,-0.43649430074309803,-0.22512856060090827,-0.4839143399551071,-0.09484007842401809,0.2587857793541988
90.0,-0.12468549511336395,-0.3371233503820224,-0.06342099912060725,-0.23090442274769318,0.21243785526865844,0.16748342362708593
91.0,-0.5022346630057909,-0.014223437122573176,0.16352419379628305,-0.258229050064182,-0.4880112258832177,0.4217532438604651
92.0,-0.47987724437260537,-0.22083274220422466,0.0638274568560005,-0.350354993288415,-0.2590445021683807,0.4141824501444155
94.0,-0.4415913368372535,-0.1688580266224972,-0.5147913016615565,-0.3052246817298753,-0.27273331021475633,-0.2095666199316812
95.0,-0.40967300036114795,-0.23680995744611988,0.13083321950596744,-0.3232414789036339,-0.17286304291502808,0.45407469840960135
96.0,-0.4484423663991279,-0.21428974135355427,0.02166567413576033,-0.3313660538763411,-0.2341526250455736,0.3530317280121014
98.0,-0.1975466116441138,-0.32558495356395295,0.07786312731610293,-0.2615657826040334,0.12803834191983915,0.3394289099201363
99.0,-0.4495147312050925,-0.40667188081259187,0.013191280187914517,-0.4280933060088422,-0.04284285039250063,0.4412845861967567
100.0,-0.5244616123649469,-0.20430065530515934,-0.15484827629607373,-0.3643811338350531,-0.3201609570597876,0.20953285753897938
102.0,-0.43558056350379876,0.10705648498371782,0.38076135205122846,-0.16426203926004046,-0.5426370484875166,0.545023391311269
103.0,-0.6655612704907603,-0.0720120630081599,0.17335197972465075,-0.3687866667494601,-0.5935492074826004,0.5421386464741108
