mutant_id,t0-t1,t1-t2,t2-t3,t3-t4,t4-t5,t5-t6,t6-t7,t7-t8,t8-t9
25,-0.9399231365664056,-1.8385391377466138,0.07623935322036847,-0.7017482154572066,-0.26040756096453366,0.5920650873653909,-1.0428790702778359,0.1089434143756278,
26,-0.010387177942229786,-0.8044653702160752,-0.7710585071668351,-0.4869729138135134,-1.4196444714490783,-0.611907716960545,0.27887676970448355,-0.29652169373253656,
27,-1.1498214611305946,-2.0572283387114436,0.07623935322036847,-0.8352796080817291,1.4135688726071378,0.08123946359940036,-1.5128826995235714,0.1089434143756278,
28,-0.9171084588002341,-1.9236969460869207,,,,,,,
29,-0.7401684916819554,-1.2921076585264086,-0.010772023769261257,-0.30643547881306005,-0.21388754532964105,-0.9303614480790796,0.7897023934704743,-0.6895642818421438,
30,-1.2631501464375978,-1.7695462662596624,-0.3292257548877959,0.9564798611463259,0.027274511487247223,-1.0173728250687095,,,
31,-0.7641589803186101,0.02221320296839266,-0.6169078273395768,0.2633326805863806,-0.37819059662091725,0.19902249925578394,-0.5320534465118453,0.6197690381416188,0.5034263927089551
32,0.5487164460895518,0.03443331430316795,-0.07420699504313709,0.04605424872456885,-0.22906505299633192,-0.6144297863932549,-0.4590283114969554,-0.7360097790523216,
33,-1.057517510775196,-0.8728001304584776,0.1522252601982906,-0.09450437853252912,-0.2999383997211689,-0.7877983834242093,0.016512505236992357,-0.5842037661843172,
34,0.10049723963851098,-0.05848900482797256,-0.07135766303038445,-0.06071430891849778,-0.22029443094640766,-0.3985142035704259,-0.45249709651532455,-0.4874617191398872,-1.2301741623455678
35,0.5004384458237608,-0.07193822815471358,-0.1925147093458935,-0.18469204194057995,0.04878071670821102,-0.8565574734957184,-0.4894938320930492,-0.6322129853706779,
36,-0.703534358502175,-0.8379880622547189,-2.321655919578002,1.244161933598107,0.027274511487247223,0.6408552515348231,-0.6862041263391035,-0.3610602148701077,
37,0.8275502396854102,-0.08873587072038712,0.013450613806584969,-0.05298657800352144,-0.08307354568161825,-0.5045491986400455,-0.46786250502030124,-0.9559478443250259,
38,0.7985426375270157,0.004434956947108721,-0.026271577769538576,-0.07742454403305837,0.015349327576441061,-0.5070614723348811,-0.5024047525897153,-0.9392748605410753,
39,-0.15161360678855265,-0.6269708541704367,-0.5245345072085615,-0.6399708557609634,-0.6341239707581179,-0.7454391095850675,-2.0724984874589945,1.2075557030437376,
40,-1.343437024543308,-1.011860564562146,-0.7504392199640993,0.1806409647412672,-0.5674325962594455,0.3531731790830421,-0.7732155033287331,0.3501054711925158,-0.08436027219316389
41,-1.1089994666103395,-1.1888770691264072,0.0021313810666466555,-0.7611716359280072,-0.5323412764481756,-0.611907716960545,1.1261746300916873,0.1089434143756278,
42,,,,,,,,,
43,,,,,,,,,
44,0.16563845039491015,-0.5182881889437149,-0.4507809564656026,-0.38329448433867186,0.1023096974301614,-0.7266832315529731,-0.7417739774939144,-1.0149866822767717,
45,0.37909417806965967,0.19238436786160684,0.05049196768507362,0.03191335917545249,-0.029675277191750355,-0.17784468278841148,-0.29871013523479717,-0.3484669848832002,-0.7017005216755657
46,-2.0898287196220657,0.02221320296839266,0.07623935322036847,,,,,,
47,0.6472914808857874,-0.023681812646155348,0.16076578197535302,0.04543848515831453,0.09760447586880959,-0.15531199544778185,-0.09564496169752519,-0.44500663602411755,
48,-0.3626077715315818,-0.9318178568886095,-0.5077085353745847,-0.33137442716031223,-0.26040756096453377,-1.0173728250687095,0.27887676970448355,-0.5842037661843175,
49,0.14305603811303796,-0.4731626752884041,-0.2949758318447174,-0.3552256429824921,0.00834650160172815,-0.6709412485447377,-0.5388331334972243,-0.8651061516507195,
50,0.7635017665937499,-0.15383874081196666,0.08122689473140765,-0.2076664689008567,-0.11521358703621526,-0.4922547275080997,-0.5293397406402489,-0.9478717456140202,
51,0.6715674621854371,-0.11889163202556578,-0.11188163988611866,-0.1640311128294214,0.09388652720482861,-0.4536556451154688,-0.6128331644140504,-0.9880727047596596,
52,-0.7765594935170649,-2.375682069829978,0.3639214256721494,0.08101112379242614,0.20959606828120173,-1.7105200056286547,0.5665588421562645,-0.178738658076153,
53,0.7251427479722183,-0.06176999489125601,-0.017390822651968063,-0.04938759920617134,0.02194590207602822,-0.46247492921238986,-0.4624472662046879,-0.825756066908597,
54,-0.35169034183310843,-0.39176259480768055,-0.3292257548877957,-0.4298144999735647,-0.3040826244671954,-0.6860156891142668,-0.20663104607721733,-0.5041610585107809,
55,0.1506245922649737,-0.5594384733662107,-0.23308189433489354,-0.6847067496023548,-0.5734993489416829,-1.1425359680227152,-0.34973188971789076,-1.4596725035382174,
56,0.7650802060314652,-0.00030863527450617975,-0.05132687075570278,-0.040619035451370786,-0.024971844683189894,-0.48906093344606316,-0.4703959161399244,-0.9512680443041158,
57,,,,,,,,,
58,,,,,,,,,
59,-0.7035343585021749,-1.198288903308754,-0.6169078273395766,0.14554964492999697,-0.8481942258666528,0.41771170022061344,-0.6862041263391035,0.3320869656898376,
60,-0.7204361693047782,-0.8997755500204002,-0.6458953642128291,0.06917666614542312,-0.7146628332421302,0.8231768083287776,-0.6862041263391035,-0.29652169373253656,
